time,step,Galaxy-S5-atonomura,nexus7-2012-hmurakami,nexus7-2013-haida,Xperia-Z5-tyamamoto
734,240,1522.0,1808.0,584.5894775390625,808.0
737,241,1527.0,1834.0,599.5789184570313,808.0
740,242,1529.0,1838.0,594.9473876953125,808.0
743,243,1529.0,1832.0,593.0947265625,808.0
746,244,1528.0,1830.0,599.915771484375,808.0
749,245,1529.0,1836.0,595.3684692382813,808.0
752,246,1529.0,1836.0,599.2421264648438,808.0
755,247,1529.0,1834.0,598.0631713867188,808.0
758,248,1528.0,1838.0,597.1368408203125,808.0
761,249,1527.0,1830.0,594.5263061523438,808.0
764,250,1527.0,1840.0,594.7789306640625,808.0
767,251,1528.0,1838.0,594.3578491210938,808.0
770,252,1527.0,1834.0,598.2315673828125,808.0
773,253,1527.0,1836.0,593.178955078125,808.0
776,254,1527.0,1838.0,595.2000122070313,808.0
779,255,1528.0,1826.0,591.6631469726563,808.0
782,256,1528.0,1836.0,598.3999633789063,808.0
785,257,1527.0,1830.0,595.2841796875,808.0
788,258,1528.0,1828.0,595.45263671875,808.0
791,259,1526.0,1834.0,596.8842163085938,808.0
794,260,1526.0,1832.0,597.0526123046875,808.0
797,261,1527.0,1826.0,600.4210205078125,808.0
800,262,1526.0,1830.0,597.810546875,808.0
803,263,1526.0,1828.0,593.5158081054688,808.0
806,264,1527.0,1828.0,598.3999633789063,808.0
809,265,1526.0,1832.0,592.4210815429688,808.0
812,266,1526.0,1824.0,599.4105224609375,808.0
815,267,1526.0,1828.0,599.915771484375,808.0
818,268,1526.0,1828.0,597.0526123046875,808.0
821,269,1527.0,1828.0,596.9683837890625,808.0
824,270,1526.0,1830.0,595.3684692382813,808.0
827,271,1523.0,1816.0,590.4841918945313,795.0
830,272,1513.0,1796.0,587.2000122070313,795.0
833,273,1505.0,1780.0,580.1262817382813,795.0
836,274,1494.0,1758.0,573.4736938476563,768.0
839,275,1481.0,1738.0,562.35791015625,768.0
843,276,1462.0,1724.0,560.6736450195313,768.0
846,277,1432.0,1702.0,560.0,755.0
849,278,1358.0,1688.0,550.73681640625,755.0
852,279,1117.0,1666.0,542.4841918945313,742.0
855,280,1116.0,1656.0,542.6526489257813,729.0
858,281,1114.0,1634.0,527.6631469726563,729.0
861,282,1112.0,1626.0,523.1157836914063,715.0
864,283,1111.0,1608.0,521.5999755859375,715.0
867,284,1109.0,1582.0,514.7789306640625,702.0
870,285,1106.0,1560.0,510.9052734375,689.0
873,286,1104.0,1552.0,507.8736877441406,689.0
876,287,1102.0,1536.0,499.2842102050781,676.0
879,288,1100.0,1514.0,494.821044921875,676.0
882,289,1099.0,1500.0,492.96844482421875,662.0
885,290,1096.0,1478.0,481.2631530761719,649.0
888,291,1093.0,1468.0,478.6526184082031,649.0
891,292,,1450.0,472.5894775390625,636.0
894,293,1087.0,1430.0,461.9789733886719,636.0
897,294,1085.0,1416.0,471.7473449707031,636.0
900,295,1079.0,1390.0,462.4842224121094,609.0
903,296,1078.0,1382.0,452.21051025390625,609.0
906,297,1074.0,1364.0,443.03155517578125,609.0
909,298,1068.0,1344.0,435.20001220703125,596.0
912,299,1066.0,1330.0,436.29473876953125,596.0
915,300,1058.0,1312.0,429.726318359375,583.0
918,301,1050.0,1298.0,420.88421630859375,583.0
921,302,1045.0,1278.0,421.97894287109375,570.0
924,303,1037.0,1268.0,419.536865234375,570.0
927,304,1028.0,1254.0,422.06317138671875,556.0
930,305,1012.0,1234.0,414.2315979003906,556.0
933,306,988.0,1232.0,397.64208984375,543.0
936,307,900.0,1206.0,388.5473937988281,543.0
939,308,806.0,1188.0,392.6737060546875,530.0
942,309,805.0,1176.0,380.9684143066406,517.0
945,310,804.0,1166.0,380.29473876953125,517.0
948,311,803.0,1148.0,380.29473876953125,517.0
951,312,802.0,1134.0,381.1368713378906,503.0
954,313,799.0,1122.0,362.6947326660156,503.0
957,314,798.0,1106.0,365.3894958496094,490.0
960,315,796.0,1088.0,358.821044921875,483.0
963,316,795.0,1084.0,361.3473815917969,483.0
966,317,792.0,1054.0,333.0,470.0
969,318,790.0,1040.0,352.16845703125,457.0
972,319,788.0,1024.0,324.463134765625,463.0
975,320,787.0,1026.0,329.6842346191406,450.0
978,321,785.0,1008.0,330.35791015625,444.0
981,322,782.0,994.0,318.821044921875,444.0
984,323,780.0,976.0,329.0947265625,437.0
987,324,776.0,962.0,328.6737060546875,424.0
990,325,775.0,946.0,324.1263122558594,424.0
993,326,772.0,932.0,304.4210510253906,417.0
996,327,769.0,920.0,296.0,404.0
999,328,763.0,898.0,298.7789611816406,404.0
1002,329,759.0,882.0,293.0526428222656,397.0
1005,330,756.0,874.0,286.1473693847656,391.0
1008,331,753.0,864.0,286.9894714355469,391.0
1011,332,747.0,856.0,273.178955078125,384.0
1014,333,742.0,832.0,281.51580810546875,371.0
1017,334,736.0,828.0,271.4947509765625,364.0
1020,335,728.0,808.0,263.07366943359375,364.0
1023,336,716.0,800.0,259.4526062011719,357.0
1026,337,705.0,794.0,258.9473876953125,364.0
1029,338,669.0,776.0,248.8421173095703,351.0
1032,339,642.0,768.0,247.57894897460938,344.0
1035,340,509.0,754.0,244.2105255126953,331.0
1038,341,508.0,736.0,245.3894805908203,338.0
1041,342,507.0,722.0,243.28419494628906,324.0
1044,343,506.0,710.0,237.97894287109375,318.0
1047,344,504.0,700.0,229.81051635742188,311.0
1050,345,503.0,686.0,227.70526123046875,311.0
1053,346,501.0,680.0,221.4736785888672,304.0
1056,347,500.0,672.0,217.43157958984375,311.0
1059,348,498.0,652.0,209.7684326171875,298.0
1063,349,496.0,638.0,212.2947235107422,291.0
1066,350,495.0,634.0,207.74737548828125,285.0
1069,351,492.0,612.0,205.81053161621094,285.0
1072,352,489.0,610.0,203.53683471679688,278.0
1075,353,487.0,596.0,192.08419799804688,271.0
1078,354,485.0,584.0,190.3157958984375,271.0
1081,355,481.0,566.0,189.4736785888672,265.0
1084,356,476.0,562.0,179.78948974609375,258.0
1087,357,472.0,546.0,180.71578979492188,245.0
1090,358,467.0,534.0,179.28419494628906,245.0
1093,359,460.0,528.0,173.55789184570313,245.0
1096,360,448.0,516.0,174.98947143554688,238.0
1099,361,444.0,506.0,171.45263671875,238.0
1102,362,400.0,506.0,169.9368438720703,225.0
1105,363,334.0,498.0,167.0736846923828,231.0
1108,364,333.0,486.0,163.53683471679688,225.0
1111,365,332.0,470.0,153.43157958984375,218.0
1114,366,330.0,466.0,157.4736785888672,212.0
1117,367,329.0,452.0,149.726318359375,218.0
1120,368,327.0,444.0,148.71578979492188,212.0
1123,369,326.0,440.0,145.17893981933594,205.0
1126,370,324.0,422.0,139.6210479736328,198.0
1129,371,322.0,422.0,137.3473663330078,205.0
1132,372,321.0,406.0,134.90525817871094,192.0
1135,373,319.0,396.0,131.53683471679688,192.0
1138,374,317.0,388.0,130.1052703857422,185.0
1141,375,315.0,376.0,127.07368469238281,178.0
1144,376,312.0,374.0,124.46316528320313,185.0
1147,377,310.0,360.0,121.178955078125,178.0
1150,378,308.0,354.0,116.63157653808594,172.0
1153,379,304.0,350.0,113.09474182128906,159.0
1156,380,301.0,336.0,113.178955078125,165.0
1159,381,298.0,336.0,108.0421142578125,165.0
1162,382,294.0,322.0,105.60000610351563,159.0
1165,383,291.0,320.0,105.01052856445313,152.0
1168,384,286.0,304.0,102.9052734375,145.0
1171,385,280.0,302.0,99.45263671875,139.0
1174,386,274.0,294.0,97.34736633300781,152.0
1177,387,266.0,290.0,95.83158874511719,145.0
1180,388,251.0,276.0,94.48420715332031,139.0
1183,389,231.0,272.0,92.0421142578125,132.0
1186,390,181.0,264.0,90.69474792480469,125.0
1189,391,180.0,260.0,88.16842651367188,125.0
1192,392,180.0,254.0,84.46316528320313,132.0
1195,393,179.0,246.0,82.77894592285156,125.0
1198,394,178.0,242.0,81.85263061523438,125.0
1201,395,177.0,236.0,79.07368469238281,119.0
1204,396,176.0,226.0,75.28421020507813,112.0
1207,397,176.0,224.0,73.178955078125,106.0
1210,398,175.0,210.0,71.83158874511719,119.0
1213,399,174.0,212.0,68.71578979492188,112.0
1216,400,173.0,200.0,68.46316528320313,106.0
1219,401,172.0,198.0,66.8631591796875,99.0
1222,402,171.0,190.0,65.26316833496094,99.0
1225,403,170.0,190.0,63.24211120605469,92.0
1228,404,169.0,176.0,61.894744873046875,92.0
1231,405,168.0,180.0,60.21052551269531,86.0
1234,406,167.0,172.0,58.52632141113281,86.0
1237,407,165.0,168.0,56.757904052734375,92.0
1240,408,163.0,162.0,55.24211120605469,86.0
1243,409,162.0,154.0,53.726318359375,86.0
1246,410,160.0,148.0,52.29473876953125,79.0
1249,411,158.0,146.0,51.284210205078125,79.0
1252,412,155.0,134.0,49.600006103515625,72.0
1255,413,153.0,138.0,48.0,72.0
1258,414,151.0,132.0,46.90525817871094,66.0
1261,415,145.0,130.0,45.64210510253906,66.0
1264,416,143.0,124.0,44.37895202636719,72.0
1267,417,135.0,120.0,43.11579895019531,72.0
1270,418,120.0,128.0,41.852630615234375,72.0
1273,419,84.0,110.0,40.84210205078125,66.0
1276,420,84.0,110.0,39.49473571777344,66.0
1279,421,83.0,106.0,38.90525817871094,59.0
1282,422,82.0,110.0,37.81053161621094,59.0
1286,423,82.0,104.0,36.715789794921875,59.0
1289,424,81.0,102.0,36.0421142578125,53.0
1292,425,81.0,94.0,34.8631591796875,53.0
1295,426,80.0,102.0,34.52632141113281,53.0
1298,427,79.0,90.0,33.76841735839844,46.0
1301,428,78.0,88.0,32.33683776855469,46.0
1304,429,78.0,82.0,31.831573486328125,46.0
1307,430,76.0,86.0,30.736846923828125,53.0
1310,431,76.0,82.0,30.147369384765625,53.0
1313,432,75.0,86.0,29.642105102539063,53.0
1316,433,73.0,82.0,28.968429565429688,53.0
1319,434,73.0,78.0,28.378952026367188,53.0
1322,435,72.0,78.0,27.45263671875,46.0
1325,436,72.0,78.0,27.284210205078125,46.0
1328,437,71.0,76.0,27.11578369140625,46.0
1331,438,70.0,76.0,26.442108154296875,46.0
1334,439,68.0,68.0,25.936843872070313,46.0
1337,440,68.0,72.0,25.852630615234375,46.0
1340,441,66.0,66.0,25.43157958984375,39.0
1343,442,66.0,64.0,24.84210205078125,39.0
1346,443,64.0,66.0,24.505264282226563,39.0
1349,444,64.0,68.0,24.168426513671875,39.0
1352,445,64.0,66.0,24.168426513671875,39.0
1355,446,62.0,64.0,23.74737548828125,39.0
1358,447,62.0,60.0,23.663162231445313,39.0
1361,448,62.0,62.0,23.326309204101563,39.0
1364,449,62.0,64.0,23.326309204101563,39.0
1367,450,58.0,58.0,23.242111206054688,39.0
1370,451,58.0,56.0,23.073684692382813,39.0
1373,452,58.0,64.0,23.073684692382813,39.0
1376,453,58.0,60.0,22.905258178710938,39.0
1379,454,58.0,58.0,22.905258178710938,39.0
1382,455,58.0,60.0,22.652633666992188,39.0
1385,456,58.0,64.0,22.905258178710938,39.0
1388,457,58.0,58.0,22.989471435546875,39.0
1391,458,58.0,64.0,23.073684692382813,39.0
1394,459,58.0,64.0,22.989471435546875,39.0
1397,460,58.0,54.0,23.073684692382813,39.0
1400,461,58.0,62.0,22.56842041015625,39.0
1403,462,58.0,56.0,22.989471435546875,39.0
1406,463,58.0,56.0,22.905258178710938,39.0
1409,464,58.0,56.0,22.905258178710938,39.0
1412,465,58.0,56.0,23.073684692382813,39.0
1415,466,58.0,58.0,22.989471435546875,39.0
1418,467,58.0,56.0,22.989471435546875,39.0
1421,468,58.0,56.0,22.905258178710938,39.0
1424,469,58.0,66.0,22.652633666992188,39.0
1427,470,58.0,62.0,22.821060180664063,39.0
1430,471,58.0,58.0,22.989471435546875,39.0
1433,472,58.0,60.0,22.905258178710938,39.0
1436,473,58.0,64.0,22.989471435546875,39.0
1439,474,58.0,56.0,22.989471435546875,39.0
1442,475,58.0,52.0,22.905258178710938,39.0
1445,476,58.0,58.0,22.56842041015625,39.0
1448,477,58.0,62.0,23.073684692382813,39.0
1451,478,58.0,56.0,22.652633666992188,39.0
1454,479,58.0,64.0,22.989471435546875,39.0
1457,480,58.0,60.0,22.989471435546875,39.0
1460,481,58.0,58.0,22.821060180664063,39.0
1463,482,58.0,58.0,22.905258178710938,39.0
1466,483,58.0,58.0,22.821060180664063,39.0
1469,484,58.0,56.0,23.073684692382813,39.0
1472,485,58.0,64.0,23.073684692382813,39.0
1475,486,58.0,56.0,22.989471435546875,39.0
1478,487,58.0,54.0,23.15789794921875,39.0
1481,488,58.0,58.0,23.073684692382813,39.0
1484,489,58.0,58.0,22.989471435546875,39.0
1487,490,58.0,58.0,23.242111206054688,39.0
1490,491,58.0,64.0,22.989471435546875,39.0
1493,492,58.0,58.0,22.989471435546875,39.0
1496,493,58.0,60.0,23.15789794921875,39.0
1499,494,58.0,62.0,22.989471435546875,39.0
1502,495,58.0,58.0,22.989471435546875,39.0
1505,496,58.0,60.0,23.073684692382813,39.0
1508,497,58.0,62.0,22.989471435546875,39.0
1511,498,58.0,60.0,23.15789794921875,39.0
1515,499,58.0,56.0,23.073684692382813,39.0
1518,500,58.0,56.0,22.989471435546875,39.0
1521,501,29.0,32.0,14.3157958984375,26.0
1524,502,0.0,0.0,0.0,0.0
1527,503,0.0,0.0,0.0,0.0
1530,504,0.0,0.0,0.0,0.0
1533,505,0.0,0.0,0.0,0.0
1536,506,0.0,0.0,0.0,0.0
1539,507,0.0,0.0,0.0,0.0
1542,508,0.0,0.0,0.0,0.0
1545,509,0.0,0.0,0.0,0.0
1548,510,0.0,0.0,0.0,0.0
1551,511,0.0,0.0,0.0,0.0
1554,512,0.0,0.0,0.0,0.0
1557,513,0.0,0.0,0.0,0.0
1560,514,0.0,0.0,0.0,0.0
1563,515,0.0,0.0,0.0,0.0
1566,516,0.0,0.0,0.0,0.0
1569,517,0.0,0.0,0.0,0.0
1572,518,0.0,0.0,0.0,0.0
1575,519,0.0,0.0,0.0,0.0
