,1,,,2
90785,244.8842163,,85103,182.2315826
90986,245.7263184,,85203,181.5578918
91086,246.2315826,,85403,181.2210541
91288,248.5052795,,85403,upRight6
91391,248.0842133,,85505,181.6420898
91590,247.8315887,,85705,180.8842163
91694,248.0842133,,85805,180.378952
91893,247.663147,,86006,180.8842163
91996,248.0842133,,86106,180.2105255
92195,248.8421173,,86206,180.1263275
92496,248.421051,,86406,182.0631561
92596,242.3578949,,86507,183.1578979
92797,107.6210632,,86707,183.9999847
92938,224.3368378,,86807,184.5052795
93097,239.5789337,,87008,184.1684265
93221,241.6842041,,87108,183.1578979
93400,243.621048,,87308,183.7473755
93535,247.2421112,,87408,181.9789429
93703,246.4842224,,87509,89.68421936
93823,245.0526276,,87709,5.978942871
94004,244.5473633,,87809,137.2631531
94145,244.6315613,,88010,180.2105255
94305,243.3684235,,88110,182.4842224
94427,245.1368561,,88310,183.9999847
94606,244.8842163,,88410,184.3368378
94744,244.7157898,,88511,185.0947418
94724,upRight8,,88711,184.3368378
94906,245.7263184,,88811,182.3157806
95036,244.8000031,,89012,181.7263184
95207,245.2210541,,89112,180.5473633
95508,245.3894806,,89312,181.6420898
95708,246.5684204,,89413,181.7263184
95909,248.3368378,,89513,180.8842163
96009,248.1684265,,89714,180.5473633
96210,248.2526245,,89814,181.3894806
96510,249.1789551,,90014,180.4631653
96611,247.9157867,,90114,179.8736877
96711,248.5894775,,90214,upRight7
96912,247.3263092,,90315,180.378952
97112,248.3368378,,90415,180.1263275
97213,244.5473633,,90515,179.7894897
97413,212.378952,,90715,179.3684235
97514,90.69474792,,90816,178.2736664
97715,249.1789551,,91016,178.5263214
97715,246.8210602,,91116,180.9684143
98015,240.8421021,,91317,181.6420898
98115,243.5368347,,91417,183.4105225
98322,246.3157806,,91618,183.7473755
98416,245.9789429,,91718,184.421051
98616,244.7157898,,91818,182.3157806
98717,244.1263275,,92019,159.1578979
98917,243.8736877,,92119,6.231582642
99118,242.8631592,,92319,1.936843872
99218,243.9578857,,92419,7.157897949
99418,245.2210541,,92620,172.9684143
99518,244.6315613,,92720,181.4736938
99719,244.1263275,,92822,184.3368378
99832,245.3894806,,93021,184.6736755
99937,upRight9,,93333,183.4105225
99919,244.8842163,,93622,181.5578918
100119,244.1263275,,93722,180.2105255
100320,245.7263184,,93829,180.7157898
100420,245.2210541,,94023,180.9684143
100621,244.9684143,,94123,181.3052521
100722,245.6420898,,94331,181.5578918
100922,246.8210602,,94423,181.8105316
101023,247.4105225,,94624,182.9894562
101223,247.9157867,,94724,181.1368561
101323,248.5052795,,94724,upRight8
101524,247.578949,,94842,181.9789429
101640,248.5052795,,95025,181.0526276
101825,248.421051,,95125,182.9894562
101925,248.0842133,,95325,180.8000031
102125,248.3368378,,95426,180.1263275
102225,248.0842133,,95626,181.4736938
102426,248.6736755,,95727,182.4842224
102526,243.0315857,,95927,182.9052582
102727,175.6631622,,96030,184.3368378
102827,159.1578979,,96131,184.421051
103027,243.8736877,,96327,184.5894775
103127,242.1894684,,96432,183.8315887
103328,243.621048,,96628,183.4105225
103429,246.0631561,,96734,156.4631653
103629,246.4842224,,96928,14.48420715
103729,245.3052521,,97037,28.71578979
103930,244.9684143,,97229,169.5157928
104030,244.7157898,,97344,181.4736938
104230,244.1263275,,97447,182.3157806
104331,243.9578857,,97631,183.9999847
104533,244.8000031,,97931,185.1789551
104633,245.1368561,,98038,183.7473755
104834,244.8842163,,98149,181.8947296
104848,upRight10,,98332,180.9684143
104944,243.8736877,,98435,181.7263184
105135,245.0526276,,98734,182.1473846
105235,244.6315613,,98834,181.6420898
105465,245.2210541,,99034,183.663147
105536,245.3894806,,99135,182.2315826
105737,248.2526245,,99235,182.0631561
105837,247.8315887,,99436,181.9789429
106037,248.5894775,,99536,181.7263184
106138,248.2526245,,99736,181.8947296
106338,248.0842133,,99837,180.9684143
106455,249.0947418,,99937,upRight9
106639,247.9999847,,100138,180.8000031
106739,249.5157928,,100338,180.7157898
107041,248.6736755,,100439,179.3684235
107241,247.9157867,,100539,179.7052612
107342,244.8842163,,100739,179.621048
107543,200.0000153,,100839,180.9684143
107743,141.8947296,,101040,181.8947296
107843,245.1368561,,101140,181.5578918
108044,242.3578949,,101340,183.9157867
108149,243.4526367,,101440,184.2526245
108344,245.6420898,,101541,183.578949
108455,245.5578918,,101741,185.0105133
108645,245.9789429,,101841,182.9052582
108752,245.3894806,,102042,180.5473633
108958,245.4736938,,102142,72.16842651
109046,245.5578918,,102342,10.02105713
109247,245.8105316,,102543,177.2631531
109547,244.8000031,,102743,180.2947235
109647,245.6420898,,102843,183.2421112
109848,244.8842163,,103044,183.9157867
109950,244.8000031,,103144,183.9999847
110149,244.7157898,,103344,182.9052582
110249,244.6315613,,103445,182.0631561
110550,244.042099,,103545,181.5578918
110750,244.8842163,,103746,180.8842163
110850,244.7157898,,103846,181.5578918
111052,244.6315613,,104047,181.3894806
111161,243.9578857,,104348,182.0631561
111266,downRight1,,104448,181.6420898
111353,245.3052521,,104648,181.7263184
111453,244.8842163,,104748,182.4842224
111654,244.9684143,,104848,181.6420898
111772,245.2210541,,104848,upRight10
111955,246.0631561,,105049,181.9789429
112055,245.4736938,,105149,181.4736938
112255,245.8947296,,105349,179.9578857
112356,246.6526184,,105450,179.3684235
112556,248.0842133,,105650,180.042099
112656,248.6736755,,105750,182.1473846
112857,248.1684265,,105850,183.4105225
112957,248.0842133,,106051,183.3263092
113158,247.578949,,106151,184.3368378
113258,247.2421112,,106351,183.663147
113459,248.3368378,,106452,183.8315887
113559,248.6736755,,106652,185.1789551
113759,247.8315887,,106752,184.5894775
